split,event_name,event_index,label,total_hits,roi_hits,roi_frac,active_rows,roi_active_rows,x_min,x_max,x_span,y_min,y_max,y_span,max_hits_in_one_row,longest_y_run,roi_longest_y_run,longest_row_run,mean_y,std_y
train,event_00000_label_0.txt,0,0,11,11,1.0,9,9,11,19,8,125,128,3,2,4,4,2,126.27272727272727,0.8624393618641034
train,event_00001_label_1.txt,1,1,55,52,0.9454545454545454,3,3,1,3,2,118,145,27,27,28,26,27,130.01818181818183,7.3050192186690355
train,event_00002_label_0.txt,2,0,35,34,0.9714285714285714,4,4,16,19,3,124,151,27,17,13,13,13,137.77142857142857,8.050148940186366
train,event_00003_label_1.txt,3,1,17,9,0.5294117647058824,2,1,11,18,7,118,170,52,11,11,9,11,138.7058823529412,21.441479058624974
train,event_00004_label_0.txt,4,0,33,14,0.42424242424242425,6,6,0,5,5,128,180,52,12,11,11,5,153.3939393939394,18.376433184989615
train,event_00005_label_1.txt,5,1,73,56,0.7671232876712328,5,3,0,7,7,124,160,36,31,24,24,19,140.54794520547946,10.405532111215914
train,event_00006_label_1.txt,6,1,7,7,1.0,1,1,15,15,0,128,134,6,7,7,7,7,131.0,2.0
train,event_00007_label_0.txt,7,0,7,7,1.0,3,3,0,2,2,128,134,6,3,3,3,3,131.28571428571428,2.1189138534559038
train,event_00008_label_1.txt,8,1,14,11,0.7857142857142857,1,1,19,19,0,113,146,33,14,2,2,2,131.35714285714286,10.403345223375734
train,event_00009_label_0.txt,9,0,57,43,0.7543859649122807,10,10,0,9,9,117,142,25,9,14,11,6,128.5438596491228,8.2378462852191
train,event_00010_label_0.txt,10,0,33,15,0.45454545454545453,10,6,0,9,9,125,164,39,5,10,5,3,146.75757575757575,12.523989835343047
train,event_00011_label_1.txt,11,1,9,9,1.0,2,2,18,19,1,121,129,8,6,4,4,3,125.55555555555556,2.454524670486058
train,event_00012_label_1.txt,12,1,33,14,0.42424242424242425,1,1,3,3,0,100,133,33,33,17,14,17,116.51515151515152,9.957854253837999
train,event_00013_label_0.txt,13,0,16,16,1.0,8,8,12,19,7,128,146,18,6,6,6,4,140.0,6.2048368229954285
train,event_00014_label_0.txt,14,0,29,29,1.0,6,6,0,9,9,124,150,26,9,14,14,7,138.06896551724137,7.109639083340494
train,event_00015_label_1.txt,15,1,10,6,0.6,1,1,0,0,0,100,130,30,10,3,3,3,117.1,12.275585525749882
train,event_00016_label_1.txt,16,1,85,65,0.7647058823529411,4,4,12,19,7,121,172,51,41,32,28,19,142.27058823529413,12.77809544429024
train,event_00017_label_1.txt,17,1,66,29,0.4393939393939394,4,3,16,19,3,86,139,53,34,16,12,15,115.10606060606061,15.746215310428964
train,event_00018_label_0.txt,18,0,9,9,1.0,1,1,0,0,0,125,133,8,9,9,9,9,129.0,2.581988897471611
train,event_00019_label_0.txt,19,0,18,18,1.0,10,10,10,19,9,124,138,14,4,15,15,4,130.66666666666666,4.109609335312651
train,event_00020_label_1.txt,20,1,20,20,1.0,3,3,2,5,3,127,144,17,11,10,10,6,133.4,5.276362383309167
train,event_00021_label_1.txt,21,1,24,13,0.5416666666666666,1,1,19,19,0,112,160,48,24,4,3,4,139.91666666666666,14.75329530044804
train,event_00022_label_1.txt,22,1,31,22,0.7096774193548387,3,2,14,19,5,99,150,51,29,4,4,4,128.6451612903226,12.932949635110624
train,event_00023_label_0.txt,23,0,15,15,1.0,10,10,10,19,9,123,132,9,2,10,10,2,127.46666666666667,2.777688887466621
train,event_00024_label_1.txt,24,1,110,32,0.2909090909090909,4,2,15,18,3,88,140,52,40,30,17,19,110.85454545454546,13.945241197846515
train,event_00025_label_0.txt,25,0,6,6,1.0,3,3,7,9,2,124,128,4,3,5,5,3,126.33333333333333,1.4907119849998598
train,event_00026_label_0.txt,26,0,26,26,1.0,8,8,12,19,7,125,139,14,8,13,13,8,131.03846153846155,3.6213126522635113
train,event_00027_label_1.txt,27,1,53,9,0.16981132075471697,2,2,18,19,1,78,128,50,30,16,7,4,100.67924528301887,15.81946923817522
train,event_00028_label_1.txt,28,1,18,18,1.0,2,2,1,2,1,122,133,11,10,7,7,6,127.55555555555556,3.546864377669415
train,event_00029_label_1.txt,29,1,19,14,0.7368421052631579,4,4,0,3,3,124,170,46,8,8,8,6,137.73684210526315,16.75784845272635
train,event_00030_label_1.txt,30,1,5,5,1.0,1,1,19,19,0,128,135,7,5,2,2,2,131.4,2.576819745345025
train,event_00031_label_0.txt,31,0,24,23,0.9583333333333334,4,4,0,3,3,122,175,53,8,5,5,5,137.29166666666666,11.208178437591405
train,event_00032_label_1.txt,32,1,11,11,1.0,2,2,5,6,1,128,133,5,6,6,6,6,130.45454545454547,1.776801844153824
train,event_00033_label_0.txt,33,0,13,13,1.0,5,5,10,19,9,128,145,17,5,4,4,3,136.3846153846154,5.916579853239819
train,event_00034_label_1.txt,34,1,24,16,0.6666666666666666,2,2,16,19,3,97,133,36,21,13,13,13,121.125,9.279513726483732
train,event_00035_label_1.txt,35,1,26,17,0.6538461538461539,1,1,19,19,0,107,136,29,26,24,17,24,123.1923076923077,8.04802522729468
train,event_00036_label_0.txt,36,0,30,26,0.8666666666666667,10,8,0,9,9,118,154,36,9,9,7,3,133.36666666666667,11.001464548969023
train,event_00037_label_1.txt,37,1,7,7,1.0,2,2,17,18,1,125,130,5,6,6,6,6,127.42857142857143,1.5907898179514348
train,event_00038_label_1.txt,38,1,33,18,0.5454545454545454,3,3,1,7,6,107,152,45,29,29,16,29,124.57575757575758,12.424390243023094
train,event_00039_label_1.txt,39,1,60,30,0.5,4,3,2,5,3,86,138,52,37,15,12,12,114.31666666666666,14.47468095983082
train,event_00040_label_1.txt,40,1,7,7,1.0,2,2,15,16,1,126,133,7,4,6,6,2,129.14285714285714,2.231499907401901
train,event_00041_label_1.txt,41,1,39,39,1.0,2,2,18,19,1,120,145,25,24,23,23,12,133.7948717948718,7.480502818625288
train,event_00042_label_1.txt,42,1,30,29,0.9666666666666667,1,1,1,1,0,120,151,31,30,19,19,19,135.2,9.100915704843478
train,event_00043_label_1.txt,43,1,49,14,0.2857142857142857,4,2,0,3,3,112,165,53,20,16,5,8,144.85714285714286,18.37256161802603
train,event_00044_label_0.txt,44,0,33,25,0.7575757575757576,10,5,0,9,9,115,145,30,8,9,4,4,127.27272727272727,10.07629299101467
train,event_00045_label_0.txt,45,0,25,9,0.36,10,3,0,9,9,105,129,24,4,9,8,4,116.48,7.515956359639138
train,event_00046_label_0.txt,46,0,18,18,1.0,3,3,0,2,2,127,143,16,10,17,17,8,135.38888888888889,5.023709219390356
