event_idx,true_label,prediction,correct,trigger,score_raw,score_signed,raw_word_hex,event_sum,event_max,event_nonzero,latency_ms
0,1,1,1,1,4023,4023,0x80000fb7,20,8,5,1.7209053039550781
1,1,1,1,1,480,480,0x800001e0,112,39,36,1.5785694122314453
2,0,0,1,0,3978,3978,0xf8a,20,2,16,1.5823841094970703
3,0,0,1,0,3978,3978,0xf8a,13,2,12,1.5866756439208984
4,0,0,1,0,3978,3978,0xf8a,10,2,9,1.580953598022461
5,1,1,1,1,91,91,0x8000005b,54,9,17,1.6748905181884766
6,0,0,1,0,3978,3978,0xf8a,21,3,17,1.5797615051269531
7,0,0,1,0,3978,3978,0xf8a,22,2,20,1.5749931335449219
8,1,1,1,1,35,35,0x80000023,73,14,23,1.5714168548583984
9,0,0,1,0,3978,3978,0xf8a,1,1,1,1.6384124755859375
10,1,1,1,1,153,153,0x80000099,59,12,16,1.5788078308105469
11,0,0,1,0,3978,3978,0xf8a,23,2,22,1.5773773193359375
12,1,1,1,1,124,124,0x8000007c,95,14,38,1.5838146209716797
13,0,0,1,0,3978,3978,0xf8a,1,1,1,1.5802383422851562
14,0,1,0,1,4031,4031,0x80000fbf,23,13,11,1.5838146209716797
15,0,0,1,0,3978,3978,0xf8a,8,2,7,1.580953598022461
16,1,1,1,1,4078,4078,0x80000fee,54,12,18,1.573801040649414
17,0,0,1,0,3978,3978,0xf8a,14,3,11,1.5769004821777344
18,0,0,1,0,3978,3978,0xf8a,18,2,16,1.680135726928711
19,1,0,0,0,3978,3978,0xf8a,13,2,12,1.569986343383789
20,1,1,1,1,416,416,0x800001a0,59,26,8,1.7614364624023438
21,1,0,0,0,3978,3978,0xf8a,14,3,10,1.6269683837890625
22,1,0,0,0,3977,3977,0xf89,37,6,26,1.5649795532226562
23,0,0,1,0,3978,3978,0xf8a,42,4,27,1.6074180603027344
24,1,1,1,1,194,194,0x800000c2,57,15,20,1.6884803771972656
25,1,1,1,1,472,472,0x800001d8,221,28,60,1.5749931335449219
26,0,0,1,0,3978,3978,0xf8a,6,1,6,1.5931129455566406
27,0,0,1,0,3978,3978,0xf8a,7,3,5,1.5740394592285156
28,0,0,1,0,3978,3978,0xf8a,32,3,27,1.6825199127197266
29,1,1,1,1,439,439,0x800001b7,103,33,35,1.6047954559326172
30,1,1,1,1,83,83,0x80000053,45,9,12,1.5900135040283203
31,0,0,1,0,3978,3978,0xf8a,11,1,11,1.5900135040283203
32,0,0,1,0,3978,3978,0xf8a,13,2,12,1.5978813171386719
33,0,0,1,0,3978,3978,0xf8a,22,2,20,1.6067028045654297
34,0,1,0,1,3988,3988,0x80000f94,15,9,7,1.5845298767089844
35,1,0,0,0,3978,3978,0xf8a,27,3,23,1.6019344329833984
